strategy,n,hit_rate,avg_return,median_return,sharpe,scaled_trade_sharpe
period_buy_hold,39,0.5384615384615384,0.008084133725986617,0.0025307192773093012,1.021883640841699,
period_daily_rebalanced,39,0.5384615384615384,0.008084133725986617,0.0025307192773093012,1.193494936901187,
event_trade_level,38,0.42105263157894735,-0.01573278398179813,-0.017516793901058314,-0.24898987394920624,-1.5348766655699673
event_active_daily,38,0.42105263157894735,-0.01573278398179813,-0.017516793901058314,-9.605680387814765,
event_fixed_capital_daily,38,0.42105263157894735,-0.01573278398179813,-0.017516793901058314,-4.408049616200581,
